ID,TLC,EOM,LEAF,Gaia,RAdeg,DEdeg,plx,Gmag,bp-rp,Weight,teff_gspphot,radius_gspphot,teff_gspspec,logg_gspspec,teff_esphs,logg_esphs,tic,tmag,noise
72462,22,-1,,5301817585651242624,131.9104,-59.6179,6.18,8.28,0.21,0.01,8084.57421875,1.5923999547958374,nan,nan,8183.06591796875,4.0774993896484375,46036555,8.1853,0.0004822638989485816
72563,22,-1,,5544335319197432576,120.4099,-36.6711,6.032,8.42,0.22,0.02,8071.6337890625,1.5530999898910522,nan,nan,8076.5322265625,3.940861225128174,133036961,8.329,0.0004906967814964791
72581,22,-1,,5491213789286967808,107.9509,-54.2773,4.914,8.99,0.31,0.0,7808.298828125,1.6038000583648682,nan,nan,7700.67529296875,4.012365341186523,294157254,8.8422,0.000494860624877617
72630,22,-1,,5494085885459376256,116.2775,-49.4058,6.791,8.7,0.45,0.07,7075.8505859375,1.5247999429702759,nan,nan,nan,nan,268189641,8.474,0.00048709685132510943
72687,22,-1,,4136340001855513472,258.4029,-15.5604,8.953,6.68,0.24,0.01,7914.80322265625,2.300299882888794,nan,nan,nan,nan,434884538,6.56893,0.00046845485390358194
89958,27,1,A,3210328835028879872,79.4015,-4.7295,3.57,9.02,0.11,0.26,nan,nan,nan,nan,9717.716796875,4.070112705230713,249065072,9.0041,0.0004994447954641722
89959,27,1,A,3210223896091434496,79.4717,-5.2766,3.394,11.41,0.75,0.3,6375.26416015625,1.2723000049591064,6473.0,4.320000171661377,nan,nan,249070893,11.019,0.0006874290117241824
90303,27,1,,3221957265708038656,82.387,1.0989,3.096,11.33,0.68,0.19,6271.81982421875,1.3698999881744385,6453.0,4.320000171661377,nan,nan,264741070,10.9714,0.0006843795293038835
90313,27,1,,3209524748433972992,83.5633,-5.197,3.219,10.47,0.65,0.13,nan,nan,6487.0,4.150000095367432,nan,nan,427352742,10.1236,0.000561356666083526
90355,27,1,,3210038731462325504,79.7807,-5.3008,3.232,10.82,0.65,0.21,6663.2392578125,1.4616999626159668,nan,nan,nan,nan,249077668,10.4768,0.0005989840827292898
90514,27,1,,2988947769414690944,80.8924,-11.978,3.43,9.35,0.14,0.19,9547.1162109375,1.5307999849319458,nan,nan,8661.8154296875,4.111602306365967,442928663,9.30544,0.0005103571491067031
90564,27,1,,3182061314495503232,76.563,-10.4394,3.735,9.64,0.32,0.24,7661.7734375,1.6065000295639038,nan,nan,7700.01513671875,4.065544128417969,43727900,9.4832,0.0005179705484331678
90770,27,1,,3217795000018315904,84.3839,-0.3621,3.217,10.2,0.56,0.1,6636.87744140625,1.8344000577926636,6413.0,3.9600000381469727,nan,nan,11197836,9.9086,0.0005457141624482909
91032,27,1,,3023908116007806208,86.2244,-3.9032,3.037,10.73,0.61,0.12,6497.1787109375,1.6629999876022339,nan,nan,nan,nan,72884903,10.4096,0.0005952649154800483
91045,27,2,,3190312225845511296,61.4293,-11.6275,4.838,8.99,0.5,0.16,6856.02587890625,2.1898000240325928,nan,nan,nan,nan,34236772,8.72726,0.0004914262585991367
91076,27,2,,3192075288443914752,63.9698,-9.96,4.61,8.37,0.21,0.22,10538.88671875,1.846500039100647,nan,nan,8954.0810546875,4.3066558837890625,67774484,8.27715,0.0004824690503273082
91108,27,2,,3197182077575402368,63.0527,-6.0216,4.518,9.63,0.67,0.1,6387.5185546875,1.9020999670028687,nan,nan,nan,nan,67687692,9.2782,0.0005090951800560922
91276,27,2,,3187367523251496320,74.2766,-6.5319,4.336,8.34,0.04,0.28,nan,nan,nan,nan,9709.0654296875,4.190421104431152,138798685,8.34972,0.00048369228204710223
91386,27,3,,3012635476123721472,86.6577,-8.8287,3.389,9.13,0.16,0.42,nan,nan,nan,nan,8590.94921875,4.1381707191467285,66533066,9.06928,0.0005019318050513344
91389,27,3,,3012796932535771648,87.2993,-7.9261,3.275,10.76,0.59,0.54,6562.71240234375,1.461300015449524,nan,nan,nan,nan,66692126,10.4561,0.0005996735718019714
91393,27,3,,2996779899976478336,88.0914,-13.2309,3.276,9.42,0.17,0.17,nan,nan,nan,nan,8605.814453125,4.239661693572998,317483758,9.3493,0.0005127510488817346
91466,27,3,,3018849400448732416,87.9884,-7.3101,3.296,7.88,-0.11,0.15,9998.3642578125,2.998800039291382,nan,nan,12659.16796875,4.101411819458008,66827237,7.9954,0.00047862725625394723
91603,27,-1,,2982627359964027520,77.5975,-17.2307,3.681,10.81,0.67,0.01,6256.1318359375,1.3551000356674194,6585.0,4.429999828338623,nan,nan,671356484,10.4532,0.0005954435076079715
91664,27,-1,,3191923147819524992,65.973,-8.5427,3.649,9.91,0.53,0.02,6773.7421875,1.8061000108718872,nan,nan,nan,nan,37863539,9.64038,0.000526143362014624
91855,27,-1,,3221455136787783808,81.0347,0.1921,3.79,8.87,0.28,0.03,nan,nan,nan,nan,8166.6708984375,4.258249282836914,459991808,8.739,0.0004920531594205334
91861,27,-1,,3234001904491176832,78.1382,1.6652,3.003,10.65,0.7,0.01,6114.51708984375,1.8560999631881714,6348.0,4.059999942779541,nan,nan,262325500,10.2832,0.0005764392688744342
91879,27,-1,,3208852878108492672,82.0557,-6.738,3.312,11.02,0.72,0.02,5974.1103515625,1.5185999870300293,6429.0,4.309999942779541,nan,nan,34366482,10.643,0.0006243316371687563
91919,27,-1,,3221847318841717632,81.2476,0.5765,3.991,9.61,0.33,0.0,nan,nan,nan,nan,7825.404296875,4.349126815795898,264460765,9.4495,0.0005172760720833318
91946,27,-1,,2985500005890299776,82.6014,-13.4989,3.822,8.68,0.06,0.1,9344.5244140625,2.060800075531006,nan,nan,9603.5947265625,3.98885178565979,143377896,8.6861,0.0004905639454465255
92053,27,-1,,2986121131177463296,75.9631,-15.6983,3.441,9.65,0.61,0.01,6404.84033203125,2.30430006980896,nan,nan,nan,nan,169319248,9.3256,0.0005110308700557493
92072,27,-1,,3222447922772612992,84.4727,0.9686,3.791,7.43,-0.09,0.01,nan,nan,nan,nan,13798.8349609375,4.101064205169678,323348984,7.5333,0.00047377433632188657
92125,27,-1,,3198489809217227392,67.688,-7.2411,4.571,8.46,0.33,0.04,7464.662109375,2.2248001098632812,nan,nan,7903.810546875,4.213294982910156,38021254,8.29936,0.0004828320854054414
92155,27,-1,,3222801587559921792,84.5876,1.7412,3.41,10.23,0.64,0.02,6372.81494140625,1.7831000089645386,6598.0,4.260000228881836,nan,nan,323420008,9.89343,0.0005455141480189116
92201,27,-1,,3183714602026551808,76.1862,-8.3618,3.286,9.26,0.13,0.02,9671.5068359375,1.643399953842163,nan,nan,8719.8583984375,4.106036186218262,43648307,9.21602,0.0005064949696962815
92422,27,-1,,3178164512144923008,68.2769,-12.1362,5.375,9.25,0.53,0.01,6718.81884765625,1.628100037574768,6961.0,4.409999847412109,nan,nan,117650306,8.96856,0.0004980131503950118
92423,27,-1,,3178164512144923136,68.2771,-12.1371,5.365,9.12,0.51,0.04,6789.38623046875,1.7238999605178833,6482.0,3.869999885559082,nan,nan,117650309,8.84913,0.0004946472958365874
92504,27,-1,,2989567103698484864,76.4939,-12.3102,3.628,9.95,0.56,0.01,6692.57470703125,1.8170000314712524,nan,nan,nan,nan,169344818,9.65847,0.0005272217708355884
92703,27,-1,,3180931948551292160,72.2758,-11.8059,3.489,11.07,0.64,0.03,6343.146484375,1.2595000267028809,6628.0,4.329999923706055,nan,nan,319310835,10.7294,0.000633930715498179
92766,27,-1,,2980219914835565440,74.1996,-16.1351,3.745,7.44,0.08,0.02,8708.58984375,3.284899950027466,7756.0,4.0,nan,nan,316874758,7.425,0.0004728090802059736
92820,27,-1,,3181667075153704448,73.1453,-10.4887,3.354,7.84,-0.05,0.08,nan,nan,7725.0,4.449999809265137,nan,nan,9358795,7.90735,0.0004773371616372055
92870,27,-1,,3181940303794346368,76.5333,-11.2156,3.469,10.36,0.67,0.18,6229.2392578125,1.8609999418258667,6602.0,4.309999942779541,nan,nan,43720516,10.0115,0.0005510844293423224
92877,27,-1,,3181865704504711936,75.6774,-11.6282,3.463,9.97,0.4,0.23,7517.62255859375,1.6175999641418457,nan,nan,nan,nan,43608199,9.76166,0.0005336510806329692
92915,27,-1,,3204884534484999552,69.0798,-3.3525,4.726,3.83,-0.27,0.02,19953.57421875,8.220600128173828,8836.0,4.949999809265137,nan,nan,229087301,4.14114,0.0004651462955157976
92936,27,-1,,3182373163480661760,77.5306,-10.4067,3.353,10.89,0.66,0.09,6434.5849609375,1.3586000204086304,6574.0,4.429999828338623,nan,nan,43785559,10.5374,0.0006050522207728871
92943,27,-1,,3231482579754467072,73.9936,0.776,3.082,8.98,0.65,0.05,6520.9130859375,3.2955000400543213,6498.0,3.7200000286102295,nan,nan,262503286,8.6388,0.0004894641531919744
93059,27,-1,,3011406600082787072,89.8881,-9.616,3.177,10.82,0.63,0.04,6374.091796875,1.4889999628067017,6512.0,4.25,nan,nan,67282971,10.4914,0.0006056770756983957
93104,27,-1,,3211511153626507264,75.6832,-5.7061,5.166,8.8,0.52,0.01,6931.73193359375,2.059499979019165,nan,nan,nan,nan,213069348,8.52969,0.0004871267400412289
